timestamp,temperature,pressure,relative_humidity,aqi,tvoc,eCO2
  795530883, 22.72, 995.94,31.15,0,   0,   0
  795530913, 22.86, 995.60,30.45,1,  17, 400
  795530943, 23.20, 995.05,30.32,3, 410, 838
  795530973, 23.34, 994.89,30.07,3, 357, 820
  795531003, 23.48, 994.68,29.93,3, 322, 809
  795531033, 23.61, 994.56,29.90,3, 308, 804
  795531063, 23.80, 994.23,29.88,3, 317, 807
  795531093, 23.92, 993.99,30.48,2, 107, 561
  795531123, 23.99, 993.84,29.62,2, 111, 567
  795531153, 24.03, 993.85,29.63,2, 114, 572
  795531184, 24.10, 993.75,29.44,2, 113, 571
  795531214, 24.22, 993.50,29.06,2,  99, 548
  795531244, 24.24, 993.49,29.18,2, 104, 556
  795531274, 24.16, 993.63,29.34,2, 106, 559
  795531304, 24.17, 993.68,29.47,2, 109, 564
  795531334, 24.06, 993.85,29.43,2, 109, 565
  795531364, 24.09, 993.82,29.52,2, 113, 571
  795531394, 24.06, 993.86,30.27,2, 103, 555
  795531424, 24.08, 993.79,29.76,2, 116, 575
  795531455, 24.19, 993.62,29.61,2, 119, 581
  795531485, 24.29, 993.56,30.07,2, 119, 580
  795531515, 24.31, 993.46,29.84,2, 116, 575
  795531545, 24.20, 993.72,30.00,2, 128, 594
  795531575, 24.06, 993.89,32.15,2, 116, 575
  795531605, 23.97, 994.09,30.96,2, 119, 581
  795531635, 23.98, 994.08,30.40,2, 113, 571
  795531665, 23.85, 994.25,30.27,2, 104, 557
  795531695, 23.79, 994.33,30.47,2, 110, 565
  795531725, 23.68, 994.54,30.70,2, 113, 570
  795531756, 23.62, 994.62,30.68,2, 109, 564
  795531786, 23.63, 994.62,30.74,2, 108, 562
  795531816, 23.70, 994.64,30.99,2, 121, 583
  795531846, 23.78, 994.46,30.99,2, 122, 585
  795531876, 23.98, 994.20,31.67,2, 134, 603
  795531906, 23.99, 994.12,31.00,2, 128, 595
  795531936, 23.91, 994.26,31.06,2, 117, 577
  795531966, 23.86, 994.38,31.25,2, 122, 584
  795531996, 23.86, 994.30,30.68,2, 125, 590
  795532026, 23.79, 994.38,30.93,2, 120, 582
  795532057, 23.80, 994.41,30.72,2, 126, 591
  795532087, 23.79, 994.34,30.76,2, 132, 600
  795532117, 23.80, 994.41,30.91,2, 125, 590
  795532147, 23.71, 994.51,30.85,2, 135, 605
  795532177, 23.69, 994.62,31.05,2, 118, 578
  795532207, 23.65, 994.70,31.50,2, 134, 604
  795532237, 23.64, 994.67,31.10,2, 131, 598
  795532267, 23.60, 994.70,31.15,2, 131, 599
  795532297, 23.63, 994.63,30.99,2, 116, 575
  795532328, 23.64, 994.73,30.85,2, 142, 616
  795532358, 23.73, 994.53,31.09,2, 124, 588
  795532388, 23.73, 994.45,31.19,2, 140, 612
  795532418, 23.73, 994.53,31.33,2, 133, 601
  795532448, 23.74, 994.54,30.95,2, 131, 599
  795532478, 23.70, 994.64,31.20,2, 134, 603
  795532508, 23.67, 994.70,31.06,2, 128, 594
  795532538, 23.64, 994.80,31.11,2, 139, 611
  795532568, 23.74, 994.62,32.56,2, 148, 624
  795532598, 23.79, 994.45,33.57,2, 134, 603
  795532629, 23.97, 994.28,31.24,2, 121, 583
  795532659, 24.04, 994.12,30.96,2, 140, 613
  795532689, 23.96, 994.24,31.14,2, 133, 602
  795532719, 23.86, 994.47,31.38,2, 149, 625
  795532749, 23.81, 994.53,31.03,2, 137, 608
  795532779, 23.75, 994.61,31.20,2, 154, 632
  795532809, 23.73, 994.57,31.24,2, 149, 625
  795532839, 23.69, 994.72,31.27,2, 147, 622
  795532869, 23.61, 994.86,31.47,2, 160, 640
  795532899, 23.67, 994.76,31.55,2, 150, 627
  795532930, 23.64, 994.81,31.61,2, 157, 637
  795532960, 23.66, 994.77,31.57,2, 147, 623
  795532990, 23.82, 994.51,31.37,2, 141, 614
  795533020, 23.83, 994.52,31.38,2, 149, 625
  795533050, 23.83, 994.51,31.43,2, 136, 606
  795533080, 23.91, 994.37,31.30,2, 170, 654
  795533110, 23.92, 994.35,31.31,2, 157, 637
  795533140, 23.90, 994.39,31.43,2, 159, 639
  795533170, 23.88, 994.44,31.59,2, 162, 644
  795533200, 23.82, 994.49,31.63,2, 186, 675
  795533231, 23.82, 994.55,31.69,2, 156, 636
  795533261, 23.82, 994.56,31.74,2, 175, 661
  795533291, 23.88, 994.39,31.54,2, 182, 670
  795533321, 23.91, 994.35,31.72,2, 178, 665
  795533351, 23.87, 994.33,31.62,2, 203, 697
  795533381, 23.88, 994.47,31.66,2, 203, 696
  795533411, 23.91, 994.46,31.57,2, 184, 673
  795533441, 23.95, 994.32,31.45,2, 215, 711
  795533471, 23.92, 994.39,31.66,2, 177, 664
  795533502, 23.95, 994.42,31.55,2, 169, 653
  795533532, 23.97, 994.35,31.53,2, 175, 661
  795533562, 23.95, 994.39,31.83,2, 205, 699
  795533592, 23.99, 994.35,31.28,3, 247, 749
  795533622, 23.99, 994.32,31.36,3, 225, 723
  795533652, 23.94, 994.42,31.51,2, 203, 697
  795533682, 23.94, 994.39,31.53,2, 204, 698
  795533712, 23.93, 994.42,31.40,3, 239, 739
  795533742, 23.91, 994.57,31.39,3, 232, 732
  795533772, 23.89, 994.55,31.32,3, 246, 747
  795533803, 23.87, 994.60,31.38,3, 221, 719
  795533833, 23.93, 994.44,31.23,2, 213, 709
  795533863, 23.89, 994.61,31.33,3, 255, 757
  795533893, 23.82, 994.59,31.22,2, 211, 707
  795533923, 23.91, 994.57,32.09,2, 210, 705
  795533953, 23.95, 994.53,32.28,2, 204, 698
  795533983, 23.93, 994.54,32.53,3, 238, 738
  795534013, 23.91, 994.57,31.47,2, 200, 693
  795534043, 23.89, 994.67,31.45,2, 203, 697
  795534073, 23.85, 994.66,31.37,2, 210, 706
  795534104, 23.81, 994.77,31.53,2, 205, 700
  795534134, 23.83, 994.71,31.40,2, 191, 682
  795534164, 23.75, 994.87,31.51,2, 190, 680
  795534194, 23.78, 994.81,31.55,2, 198, 691
  795534224, 23.79, 994.81,31.58,2, 190, 681
  795534254, 23.79, 994.76,31.59,2, 191, 682
  795534284, 23.91, 994.54,31.61,2, 209, 705
  795534314, 23.85, 994.66,31.75,3, 244, 745
  795534344, 23.87, 994.60,31.65,3, 242, 742
  795534374, 23.83, 994.66,31.68,3, 274, 777
  795534405, 23.78, 994.76,31.63,3, 301, 801
  795534435, 23.76, 994.79,31.60,3, 270, 773
  795534465, 23.68, 994.91,31.69,3, 273, 777
  795534495, 23.67, 994.91,31.71,3, 281, 785
  795534525, 23.61, 995.01,31.83,3, 314, 806
  795534555, 23.52, 995.20,31.91,3, 282, 785
  795534585, 23.51, 995.22,31.98,3, 259, 762
  795534615, 23.56, 995.15,31.86,3, 274, 777
  795534645, 23.80, 994.72,31.92,3, 295, 798
  795534675, 24.72, 993.26,31.05,3, 258, 760
  795534706, 25.27, 992.41,31.07,1,   null, null
  795534736, 25.57, 991.91,30.14,1,   null, null
  795534766, 25.46, 992.07,30.07,1,   null, null
  795534796, 25.58, 991.87,30.33,1,   null, null
  795534826, 25.65, 991.76,30.57,1,   null, null
  795534856, 25.59, 991.83,31.65,1,   null, null
  795534886, 25.82, 991.59,30.97,1,   null, null
  795534916, 25.82, 991.45,31.25,1,   null, null
  795534946, 25.91, 991.38,30.76,1,   null, null
  795534977, 25.70, 991.78,31.79,1,   null, null
  795535007, 25.60, 991.90,31.50,1,   null, null
  795535037, 25.84, 991.51,31.04,1,   null, null
  795535067, 25.77, 991.60,31.13,1,   null, null
  795535097, 25.61, 991.88,31.96,1,   null, null
  795535127, 25.49, 992.11,31.57,1,   null, null
  795535157, 25.35, 992.32,32.42,1,   null, null
  795535187, 25.46, 992.12,31.35,1,   null, null
  795535217, 25.48, 992.12,32.10,1,   null, null
  795535247, 25.23, 992.48,31.86,1,   null, null
  795535278, 25.31, 992.42,31.48,1,   null, null
  795535308, 25.32, 992.38,32.40,1,   null, null
  795535338, 25.31, 992.39,31.71,1,   null, null
  795535368, 25.16, 992.60,31.84,1,   null, null
  795535398, 24.98, 992.87,32.29,1,   null, null
  795535428, 24.98, 992.80,32.36,1,   null, null
  795535458, 24.85, 993.04,32.41,1,   null, null
  795535488, 24.83, 993.13,33.37,1,  61, 479
  795535518, 24.83, 993.15,33.11,2,  73, 502
  795535548, 24.84, 993.08,33.06,1,  64, 484
  795535579, 25.08, 992.68,32.11,2,  67, 490
  795535609, 25.25, 992.35,32.44,1,  40, 437
  795535639, 25.26, 992.41,32.37,1,  35, 426
  795535669, 25.30, 992.31,32.04,1,  37, 429
  795535699, 25.41, 992.17,31.57,1,  48, 453
  795535729, 25.39, 992.28,31.69,1,  53, 464
  795535759, 25.30, 992.39,32.23,1,  60, 478
  795535789, 25.37, 992.25,31.51,1,  49, 454
  795535819, 25.34, 992.38,31.78,1,  48, 453
  795535849, 25.06, 992.83,31.30,1,  55, 466
  795535880, 24.78, 993.27,31.64,1,  59, 475
  795535910, 24.45, 993.78,31.75,2, 135, 605
  795535940, 24.37, 993.89,31.92,3, 456, 852
  795535970, 24.31, 993.98,31.89,3, 643, 908
  795536000, 24.39, 993.89,31.86,4, 703, 925
  795536030, 24.33, 993.96,31.36,3, 578, 890
  795536060, 24.33, 994.05,31.58,3, 634, 906
  795536090, 24.30, 994.08,31.42,4, 653, 911
  795536120, 24.39, 993.84,31.23,3, 614, 900
  795536151, 24.48, 993.84,31.00,3, 539, 878
  795536181, 24.48, 993.80,31.17,3, 320, 808
  795536211, 24.46, 993.85,31.30,3, 383, 829
  795536241, 24.33, 994.09,31.53,3, 373, 826
  795536271, 24.31, 994.13,31.62,3, 642, 908
  795536301, 24.31, 994.11,31.59,3, 644, 908
  795536331, 24.27, 994.15,31.86,3, 639, 907
  795536361, 24.20, 994.29,31.87,3, 598, 895
  795536392, 24.30, 994.19,31.85,3, 587, 892
  795536422, 24.28, 994.15,31.80,3, 638, 907
  795536452, 24.22, 994.24,31.92,3, 627, 904
  795536482, 24.46, 993.84,31.61,3, 622, 902
  795536512, 24.45, 993.80,31.53,3, 347, 817
  795536542, 24.38, 993.93,31.60,3, 414, 839
  795536572, 24.30, 994.11,31.72,3, 568, 886
  795536602, 24.28, 994.10,31.81,3, 647, 909
  795536632, 24.11, 994.42,32.07,4, 676, 917
  795536663, 24.04, 994.46,32.16,3, 641, 907
  795536693, 24.15, 994.21,32.06,4, 671, 916
  795536723, 24.23, 994.24,32.08,4, 653, 911
  795536753, 24.39, 993.95,31.65,3, 607, 898
  795536783, 24.31, 994.05,31.76,3, 569, 887
  795536813, 24.26, 994.09,31.91,3, 610, 899
  795536843, 24.33, 994.09,31.97,3, 643, 908
  795536873, 24.43, 993.85,32.17,3, 579, 890
  795536904, 24.43, 993.89,32.64,3, 424, 842
  795536934, 24.31, 994.13,31.84,3, 426, 843
  795536964, 24.09, 994.45,32.27,3, 641, 907
  795536994, 24.03, 994.61,32.38,4, 700, 924
  795537024, 24.02, 994.53,32.78,4, 675, 917
  795537054, 23.94, 994.68,33.28,4, 708, 926
  795537084, 24.10, 994.44,34.34,4, 651, 910
  795537114, 24.35, 994.12,32.27,3, 635, 906
  795537145, 24.59, 993.65,31.97,3, 607, 898
  795537175, 24.34, 994.08,31.59,3, 233, 732
  795537205, 23.87, 994.86,32.06,3, 613, 900
  795537235, 23.52, 995.45,32.26,3, 626, 903
  795537265, 23.26, 995.79,32.50,3, 589, 893
  795537295, 23.07, 996.08,32.66,3, 590, 893
  795537325, 22.95, 996.35,32.85,3, 569, 887
  795537355, 22.89, 996.43,32.77,3, 572, 888
  795537386, 22.80, 996.53,32.97,3, 556, 883
  795537416, 22.72, 996.68,33.19,1,  10, 400
